tourney_name,Tournament,Winner,Loser,Winner,Loser,round,,Round,,AvgW,AvgL,Avgoddsw,Averoddsl
Australian Open,Australian Open,Bautista,Murray,Pouille,Marterer,R128,,2nd Round,,1.73,2.14,,
Australian Open,Australian Open,Verdasco,Kecmanovic,Shapovalov,Daniel,R128,,2nd Round,,1.15,5.59,,
Australian Open,Australian Open,Albot,Mmoh,Popyrin,Thiem,R128,,2nd Round,,5.04,1.18,,
Australian Open,Australian Open,McDonald,Rublev,Medvedev,Harrison,R128,,2nd Round,,1.2,4.66,,
Australian Open,Australian Open,Cilic,Tomic,Zverev,Chardy,R128,,2nd Round,,1.12,6.58,,
Australian Open,Australian Open,Thiem,Paire,Djokovic,Tsonga,R128,,2nd Round,,1.06,9.59,,
Australian Open,Australian Open,Popyrin,Zverev,Tsitsipas,Basilashvili,R128,,3rd Round,,1.35,3.27,,
Australian Open,Australian Open,Marterer,Sakharov,Berdych,Schwartzman,R128,,3rd Round,,1.26,4.04,,
Australian Open,Australian Open,Pouille,Kukushkin,Federer,Fritz,R128,,3rd Round,,1.05,10.47,,
Australian Open,Australian Open,Krajinovic,Cecchinato,Tiafoe,Seppi,R128,,3rd Round,,2.03,1.81,,
Australian Open,Australian Open,Donskoy,Djere,Dimitrov,Fabbiano,R128,,3rd Round,,1.07,9.13,,
Australian Open,Australian Open,Fucsovics,Ramos,Bautista,Khachanov,R128,,3rd Round,,2.6,1.51,,
Australian Open,Australian Open,Coric,Darcis,Nadal,De,R128,,3rd Round,,1.1,7.13,,
Australian Open,Australian Open,Raonic,Kyrgios,Cilic,Verdasco,R128,,3rd Round,,1.3,3.63,,
